rule_id,zone_id,identifier,airspace_type,airspace_name,composition_op,upper_limit,upper_unit,lower_limit,lower_unit,airspace_class,altitude_interpretation,match_method
55,55,POHANG,CTA,POHANG SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
56,56,POHANG,CTA,POHANG SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
57,57,T 30,TMA,T 30,BASE,13 500,FT,1 000,FT,E,,identifier_in_text
58,58,T 31,TMA,T 31,BASE,195,FL,1 000,FT,C,,identifier_in_text
59,59,T 02,TMA,T 02,BASE,175,FL,1 000,FT,C,,identifier_in_text
60,60,T 09,TMA,T 09,BASE,185,FL,145,FL,D,,identifier_in_text
61,61,D13,D,RK D13 SEONGHWAN,BASE,3000,FT,GND,,,,identifier_in_text
62,62,T 05,TMA,T 05,BASE,185,FL,7 500,FT,D,,identifier_in_text
63,63,T 03,TMA,T 03,BASE,185,FL,4 500,FT,B,,identifier_in_text
64,64,T 01,TMA,T 01,BASE,185,FL,1 000,FT,B,,identifier_in_text
65,65,T 06,TMA,T 06,BASE,185,FL,9 500,FT,D,,identifier_in_text
66,66,T 08,TMA,T 08,BASE,185,FL,11 500,FT,D,,identifier_in_text
67,67,T 07,TMA,T 07,BASE,185,FL,11 500,FT,D,,identifier_in_text
68,68,D5,D,RK D5 WANJU,BASE,3000,FT,GND,,,,identifier_in_text
69,69,T 40,TMA,T 40,BASE,175,FL,3 600,FT,E,,identifier_in_text
70,70,T 41,TMA,T 41,BASE,175,FL,1 000,FT,C,,identifier_in_text
71,71,T 02,TMA,T 02,BASE,175,FL,1 000,FT,C,,identifier_in_text
72,72,T 42,TMA,T 42,BASE,225,FL,9 500,FT,,,identifier_in_text
73,73,T 36,TMA,T 36,BASE,225,FL,1 000,FT,,,identifier_in_text
74,74,T 22,TMA,T 22,BASE,175,FL,9 500,FT,,,identifier_in_text
75,75,T 20,TMA,T 20,BASE,145,FL,5 500,FT,,,identifier_in_text
76,76,DAEGU,CTA,DAEGU SECTOR,BASE,600,FL,1000,FT,,,identifier_in_text
77,77,EAST SEA L,CTA,EAST SEA LOW SECTOR,BASE,295,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
78,78,GUNSAN H,CTA,GUNSAN HIGH SECTOR,BASE,600,FL,255,FL,A,ABOVE_LOWER,identifier_in_text
79,79,GUNSAN L,CTA,GUNSAN LOW SECTOR,BASE,255,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
80,80,GWANGJU H,CTA,GWANGJU HIGH SECTOR,BASE,600,FL,255,FL,A,ABOVE_LOWER,identifier_in_text
81,81,GWANGJU L,CTA,GWANGJU LOW SECTOR,BASE,255,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
82,82,JJ NORTH,CTA,JEJU NORTH SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,zone_name_exact
83,83,JJ SOUTH H,CTA,JEJU SOUTH HIGH SECTOR,BASE,600,FL,335,FL,A,ABOVE_LOWER,zone_name_exact
84,84,A8,A,RK A8 IEODO,BASE,140,FL,GND,,,,identifier_in_text
85,85,POHANG,CTA,POHANG SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
86,86,SOUTH SEA,CTA,SOUTH SEA SECTOR,BASE,600,FL,1000,FT,A,ABOVE_LOWER,identifier_in_text
87,87,WEST SEA H,CTA,WEST SEA HIGH SECTOR,BASE,600,FL,295,FL,A,ABOVE_LOWER,identifier_in_text
88,88,WEST SEA L,CTA,WEST SEA LOW SECTOR,BASE,600,FL,295,FL,A,ABOVE_LOWER,identifier_in_text
89,89,A8,A,RK A8 IEODO,BASE,140,FL,GND,,,,identifier_in_text
90,90,CHUNCHEON,ATZ,CHUNCHEON ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
91,91,DEOKSO,ATZ,DEOKSO ATZ,BASE,1 000,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
92,92,GAPYEONG,ATZ,GAPYEONG ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
93,93,GEUMWANG,ATZ,GEUMWANG ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
94,94,HONGCHEON,ATZ,HONGCHEON ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
95,95,HYEONRI,ATZ,HYEONRI ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
96,96,JEONJU,ATZ,JEONJU ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
97,97,JOCHIWON,ATZ,JOCHIWON ATZ,BASE,1 500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
98,98,POSEUNG,ATZ,POSEUNG ATZ,BASE,1 000,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
99,99,TAEAN,ATZ,TAEAN ATZ,BASE,1500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
100,100,TAEAN,ATZ,TAEAN ATZ,BASE,1500,FT,FLOOR,,D,ABOVE_LOWER,identifier_in_text
